ID,MS,Mp,VFN,Mh,Man,MMS,TAN,T,Va,Ve,Mk,Cn,Ct,Cr,m (kg),Mt,Enedc (g/km),Ewltp (g/km),W (mm),At1 (mm),At2 (mm),Ft,Fm,ec (cm3),ep (KW)
3036072,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036080,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036122,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036130,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036138,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036146,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036301,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2001/116*0327*80,R,2RAJ,2RAJ1A,RENAULT,CAPTUR,M1,M1,1253,,95,,2606,1531,1531,DIESEL,M,1461,66
3036315,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3036328,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3036396,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3036403,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3036408,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2001/116*0327*83,R,5RBF,5RBF0A,RENAULT,CLIO,M1,M1,1165,,85,,2589,1509,1509,DIESEL,M,1461,55
3036626,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,BH2,A4662A010000,RENAULT,MEGANE,M1,M1,1393,,103,,2670,1596,1596,DIESEL,M,1598,96
3036634,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,BH2,A4662A010000,RENAULT,MEGANE,M1,M1,1393,,103,,2670,1596,1596,DIESEL,M,1598,96
3036640,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0546*06,RFB,KF2,MRB62B010000,RENAULT,MEGANE,M1,M1,1394,,124,,2712,1596,1596,PETROL,M,1197,97
3041999,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923,,145,,3498,1615,1615,DIESEL,M,1598,92
3042007,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923,,145,,3498,1615,1615,DIESEL,M,1598,92
3042015,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923,,145,,3498,1615,1615,DIESEL,M,1598,92
3042021,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*98/14*0213*57,JL,JR9M,MH1000642A00,RENAULT,TRAFIC,M1,M1,1923,,145,,3498,1615,1615,DIESEL,M,1598,92
3042032,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,JF2,MR6RVA015000,RENAULT,SCENIC,M1,M1,1505,,129,,2734,1602,1602,PETROL,M,1197,97
3042038,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*01,RFA,JH2,A36RVA015000,RENAULT,SCENIC,M1,M1,1505,,100,,2734,1602,1602,DIESEL,M,1461,81
3042046,FR,RENAULT,,RENAULT,RENAULT SAS,RENAULT SAS,E2*2007/46*0574*02,RFA,RH2,A5ARVA017000,RENAULT,SCENIC,M1,M1,1735,,122,,2804,1602,1602,DIESEL,M,1598,118
1218089,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218094,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218098,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218104,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218108,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218112,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218116,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218121,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218126,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218135,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218138,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218144,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218152,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218159,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218167,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218175,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218183,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218189,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218196,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218201,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218205,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1218211,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1143014,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1143026,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1143035,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
1143044,BE,RENAULT,,RENAULT,RENAULT SAS,RENAULT,E2*2007/46*0546*06,RFB,BF4,MVB62C010000,RENAULT,MEGANE,M1,M1,1467,,134,,2670,1574,1577,PETROL,M,1618,151
367023,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367030,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367039,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367048,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367089,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367098,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367104,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367112,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367121,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367127,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367133,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367141,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367147,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367157,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367165,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367170,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367178,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367187,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367194,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367201,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367210,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367219,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367224,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367232,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367240,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367246,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367255,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367263,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,114,,2652,1501,1501,Petrol,M,1199,60
367269,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0225*08,D,DHMZ,DDHMZ6/1,CITROEN,C-ELYSEE,M1 ,M1 ,1109,,110,,2652,1501,1501,Petrol,M,1199,60
367278,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen, 6, rue Fructidor 75017 Paris (France)",e2*2007/46*0040*25,NX,XAHW,NXAHWT/S,DS,DS 4,M1 ,M1 ,1585,,115,,2612,1532,1532,Diesel,M,1997,133
367287,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen, 6, rue Fructidor 75017 Paris (France)",e2*2007/46*0040*25,NX,XBHZ,NXBHZM/S,DS,DS 4,M1 ,M1 ,1483,,103,,2612,1532,1532,Diesel,M,1560,88
367294,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Autmobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0092*14,K,FAHW,KFAHWT/S,DS,DS 5,M1 ,M1 ,1754,,114,,2727,1582,1582,Diesel,M,1997,133
367302,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Autmobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0092*14,K,FAHW,KFAHWT/S,DS,DS 5,M1 ,M1 ,1754,,114,,2727,1582,1582,Diesel,M,1997,133
367310,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Autmobiles Citroen,6, rue Fructidor 75017 Paris (France)",e2*2007/46*0092*14,K,FBHZ,KFBHZM/1S,DS,DS 5,M1 ,M1 ,1634,,104,,2727,1582,1582,Diesel,M,1560,88
367318,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen, 6 Rue Fructidor 75017 PARIS (France)",e2*2007/46*0092*10,K,KFAHW,KFAHWT/S,CITROEN,DS5,M1 ,M1 ,1754,,118,,2727,1582,1582,Diesel,M,1997,133
367325,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen, 6, rue Fructidor 75017 Paris (France)",e3*2001/116*0234*14,Y,B2MRB,YB2MRB/HY9,CITROEN,JUMPER,M1 ,M1 ,2378,,158,,3450,1810,1810,Diesel,M,1997,96
367334,HR,,,AUTOMOBILES CITROEN,AUTOMOBILES CITROEN,"Automobiles Citroen, 6, rue Fructidor 75017 Paris (France)",e3*2001/116*0234*14,Y,B2MRB,YB2MRB/HY9,CITROEN,JUMPER,M1 ,M1 ,2378,,158,,3450,1810,1810,Diesel,M,1997,96
