,Mk,Category Type Approved,Category Registered,Mass (kg),CO2 (g/km),W (mm),Steering Axle (mm),Other Axle (mm),Ft,Fm,Engine Capacity (cm3),Engine Power (KW)
50,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
51,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
52,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
53,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
54,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
55,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
56,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
57,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
58,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
59,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
60,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
61,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
62,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
63,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
64,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
65,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
66,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
67,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
68,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
69,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
70,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
71,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
72,RENAULT,M1,M1,1467,134.0,2670.0,1574.0,1577.0,PETROL,M,1618.0,151.0
73,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
74,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
75,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
76,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
77,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
78,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
79,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
80,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
81,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
82,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
83,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
84,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
85,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
86,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
87,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
88,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
89,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
90,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
91,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
92,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
93,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
94,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
95,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
96,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
97,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
98,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
99,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
100,CITROEN,M1 ,M1 ,1109,114.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
101,CITROEN,M1 ,M1 ,1109,110.0,2652.0,1501.0,1501.0,Petrol,M,1199.0,60.0
102,DS,M1 ,M1 ,1585,115.0,2612.0,1532.0,1532.0,Diesel,M,1997.0,133.0
103,DS,M1 ,M1 ,1483,103.0,2612.0,1532.0,1532.0,Diesel,M,1560.0,88.0
104,DS,M1 ,M1 ,1754,114.0,2727.0,1582.0,1582.0,Diesel,M,1997.0,133.0
105,DS,M1 ,M1 ,1754,114.0,2727.0,1582.0,1582.0,Diesel,M,1997.0,133.0
106,DS,M1 ,M1 ,1634,104.0,2727.0,1582.0,1582.0,Diesel,M,1560.0,88.0
107,CITROEN,M1 ,M1 ,1754,118.0,2727.0,1582.0,1582.0,Diesel,M,1997.0,133.0
108,CITROEN,M1 ,M1 ,2378,158.0,3450.0,1810.0,1810.0,Diesel,M,1997.0,96.0
109,CITROEN,M1 ,M1 ,2378,158.0,3450.0,1810.0,1810.0,Diesel,M,1997.0,96.0
110,CITROEN,M1 ,M1 ,2595,163.0,3450.0,1810.0,1810.0,Diesel,M,1997.0,120.0
111,CITROEN,M1 ,M1 ,2378,158.0,3450.0,1810.0,1810.0,Diesel,M,1997.0,120.0
112,CITROEN,M1 ,M1 ,2130,139.0,3275.0,1630.0,1630.0,Diesel,M,1997.0,110.0
113,CITROEN,M1 ,M1 ,2118,137.0,3275.0,1630.0,1630.0,Diesel,M,1560.0,85.0
114,CITROEN,M1 ,M1 ,2118,137.0,3275.0,1630.0,1630.0,Diesel,M,1560.0,85.0
115,CITROEN,M1 ,M1 ,2118,137.0,3275.0,1630.0,1630.0,Diesel,M,1560.0,85.0
116,CITROEN,M1 ,M1 ,2210,155.0,3275.0,1630.0,1630.0,Diesel,M,1997.0,130.0
117,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
118,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
119,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
120,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
121,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
122,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
123,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
124,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
125,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
126,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
127,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
128,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
129,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
130,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
131,PEUGEOT,M1 ,M1 ,1173,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
132,PEUGEOT,M1 ,M1 ,1280,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
133,PEUGEOT,M1 ,M1 ,1189,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
134,VOLVO,M1,M1,1717,116.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,140.0
135,VOLVO,M1,M1,1717,116.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,140.0
136,VOLVO,M1,M1,1717,116.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,140.0
137,VOLVO,M1,M1,1712,149.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
138,VOLVO,M1,M1,1712,149.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
139,VOLVO,M1,M1,1799,165.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,235.0
140,VOLVO,M1,M1,1799,165.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,235.0
141,VOLVO,M1,M1,1731,154.0,2941.0,1617.0,1618.0,Petrol,M,1969.0,187.0
142,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
143,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
144,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
145,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
146,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
147,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
148,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
149,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
150,VOLVO,M1,M1,1817,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
151,VOLVO,M1,M1,1733,119.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,140.0
152,VOLVO,M1,M1,1733,119.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,140.0
153,VOLVO,M1,M1,1733,119.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,140.0
154,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
155,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
156,VOLVO,M1,M1,1825,129.0,2941.0,1628.0,1629.0,Diesel,M,1969.0,173.0
157,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
158,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
159,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
160,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
161,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
162,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
163,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
164,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
165,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
166,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
167,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
168,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
169,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
170,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
171,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
172,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
173,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
174,VOLVO,M1,M1,1825,129.0,2941.0,1617.0,1618.0,Diesel,M,1969.0,173.0
175,VOLVO,M1,M1,1486,109.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,140.0
176,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
177,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
178,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
179,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
180,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
181,VOLVO,M1,M1,1448,99.0,2646.0,1552.0,1540.0,Diesel,M,1969.0,88.0
182,VOLVO,M1,M1,1437,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
183,VOLVO,M1,M1,1437,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
184,VOLVO,M1,M1,1437,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
185,VOLVO,M1,M1,1437,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
186,VOLVO,M1,M1,1453,104.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,110.0
187,VOLVO,M1,M1,1453,104.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,110.0
188,VOLVO,M1,M1,1453,104.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
189,VOLVO,M1,M1,1453,104.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
190,VOLVO,M1,M1,1453,104.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,110.0
191,VOLVO,M1,M1,1442,128.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,140.0
192,VOLVO,M1,M1,1442,128.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,140.0
193,VOLVO,M1,M1,1453,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,88.0
194,VOLVO,M1,M1,1453,101.0,2647.0,1546.0,1533.0,Diesel,M,1969.0,88.0
195,VOLVO,M1,M1,1453,101.0,2647.0,1551.0,1538.0,Diesel,M,1969.0,88.0
196,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
197,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
198,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
199,VOLVO,M1,M1,1435,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,112.0
200,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
201,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
202,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
203,VOLVO,M1,M1,1435,129.0,2647.0,1546.0,1533.0,Petrol,M,1498.0,112.0
204,VOLVO,M1,M1,1435,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,112.0
205,VOLVO,M1,M1,1435,129.0,2647.0,1551.0,1538.0,Petrol,M,1498.0,90.0
206,VOLVO,M1,M1,1431,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
207,VOLVO,M1,M1,1431,127.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,90.0
208,VOLVO,M1,M1,1431,127.0,2647.0,1551.0,1538.0,Petrol,M,1969.0,90.0
209,VOLVO,M1,M1,1431,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
210,VOLVO,M1,M1,1431,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
211,VOLVO,M1,M1,1431,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
212,VOLVO,M1,M1,1431,127.0,2647.0,1546.0,1533.0,Petrol,M,1969.0,90.0
377,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
378,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
379,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
380,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
381,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
382,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
383,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
384,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
385,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
386,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
387,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
388,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
389,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
390,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
391,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
392,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
393,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
394,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
395,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
396,PEUGEOT,M1,M1,1035,104.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,60.0
397,PEUGEOT,M1,M1,1135,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
398,PEUGEOT,M1,M1,1135,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
399,PEUGEOT,M1,M1,1135,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
400,PEUGEOT,M1,M1,1135,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
401,PEUGEOT,M1,M1,1135,99.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,81.0
402,PEUGEOT,M1,M1,1150,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
403,PEUGEOT,M1,M1,1150,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
404,PEUGEOT,M1,M1,1150,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
405,PEUGEOT,M1,M1,1150,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
406,PEUGEOT,M1,M1,1150,90.0,2538.0,1470.0,1470.0,Diesel,M,1560.0,55.0
407,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
408,PEUGEOT,M1,M1,1035,108.0,2538.0,1470.0,1470.0,Petrol,M,1199.0,50.0
409,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
410,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
411,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
412,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
413,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
414,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
415,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
416,RENAULT,M1,M1,1505,134.0,2712.0,1574.0,1577.0,PETROL,M,1618.0,151.0
417,RENAULT,M1,M1,1387,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,66.0
418,RENAULT,M1,M1,1387,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,66.0
419,RENAULT,M1,M1,1395,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
420,RENAULT,M1,M1,1395,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
421,RENAULT,M1,M1,1395,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
422,RENAULT,M1,M1,1395,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
423,RENAULT,M1,M1,1395,95.0,2712.0,1580.0,1583.0,DIESEL,M,1461.0,81.0
